,dataset,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
0,in-house,"['2.962685392322979', '2.117911189481249', '0.8227415912096202']","['2.885933510763519', '2.0700195234821432', '0.832808738025012']","['2.85104051806358', '2.0385327314543202', '0.836509595256631']","['2.9451357255884147', '2.135766706415736', '0.8261193536675286']","['2.87554996775478', '2.06477420552121', '0.8333951781104524']","['2.80083393477502', '2.024403839494486', '0.841898153890444']","['2.7788343950428023', '1.9734087795834214', '0.8441948009754883']","['2.868844446393603', '2.0184976817453406', '0.8338916468169675']","['2.8124630418913728', '1.9939647133731413', '0.8403833492041928']","['2.8530701329915584', '2.0390288992771355', '0.8355116173570698']","['2.8454961683620947', '2.0073344797682906', '0.8369225315714319']","['2.75006865155568', '1.959004656372419', '0.8475949155057559']","['2.769957340033154', '1.9717928184939357', '0.8456691948179766']","['2.7921275132861756', '1.9769102697584284', '0.8426897383372639']","['2.7612065697834134', '1.9412345740018278', '0.8456488990725501']","['3.026442157763099', '2.075529013334762', '0.8104867116460405']","['2.769551443677095', '1.9619954396780563', '0.845075778554137']","['2.865295966695002', '2.0452352223135364', '0.8344246656935026']","['2.7738902480391165', '1.962699955971258', '0.8444440239645463']","['2.7867568542500782', '1.9706497550719717', '0.8425718947704768']"
1,omega,"['1.6118564325645384', '1.2886533278558252', '0.6572738436659492']","['1.8646136523010752', '1.5336856983597635', '0.5412769527001923']","['2.1742339348819004', '1.7516171318860434', '0.3760417899671726']","['1.770726875444155', '1.4205969595846688', '0.5857507859062424']","['1.6616241942961814', '1.3605332201416085', '0.6358341889255986']","['1.9940764305707224', '1.631288476103134', '0.4754777291775839']","['1.6100732533064168', '1.2391310461925695', '0.657659191711532']","['1.5724838208723289', '1.2589565162496879', '0.6737472408177592']","['1.691307323719596', '1.3396871212608332', '0.6224885094517314']","['1.6725612241029968', '1.3467337869599256', '0.6308946542218662']","['2.2018613627738612', '1.8473802002554394', '0.36018862178679434']","['2.0282920300110936', '1.692163364165577', '0.45722062462853214']","['1.8597023095692304', '1.4035962202451477', '0.5438140716028904']","['1.6182266062431825', '1.3056752852146327', '0.6545524536703908']","['1.8004747271475132', '1.4574643980164819', '0.5723790561655803']","['1.602438273043673', '1.253679543524878', '0.6612050354988306']","['1.6545188157079327', '1.290073294518029', '0.6387312415690174']","['1.522369909620601', '1.1941545017194384', '0.6937221621538587']","['1.5482940369887008', '1.2286666685192196', '0.683761307827716']","['1.5835150369980433', '1.2595418770552727', '0.6691814626506344']"
2,selectivity,"[1.215284893928197, 1.0056790922242484, 0.6616369979622247]","[1.740001398002858, 1.4427493172145676, 0.3063732003112546]","[1.3588392756040362, 1.07902082810117, 0.576978099081688]","[1.5370793480990408, 1.3309414834736222, 0.45872340900515873]","[1.6312092661376048, 1.278706539591847, 0.3903984960018315]","[1.9791065765116411, 1.676995421792985, 0.10264345631214222]","[1.8314651184292388, 1.356392934647427, 0.23153521007830657]","[1.8336401531799247, 1.5306263088636005, 0.22970887978180743]","[2.1010524065749565, 1.8682232994843868, -0.011347582144621837]","[1.992316727359911, 1.661237230390423, 0.09062411613422372]","[1.973353357297533, 1.6854125225799317, 0.10785306458566946]","[2.3272476013062624, 2.014526975878421, -0.24082876539289733]","[2.528442832273755, 2.1324532879357565, -0.46464693701348936]","[2.3264371854112027, 2.111354026399778, -0.2399647298975358]","[2.504663030937699, 2.2814708944974567, -0.4372267155916345]","[1.7227453900596559, 1.4882036309969926, 0.3200627050779996]","[2.0835399425707952, 1.89727440081839, 0.005441504968306643]","[1.2862119256133573, 0.9865102495112731, 0.6209890701943372]","[1.3338465926770868, 1.101785750643388, 0.5923959996592842]","[1.457561264671158, 1.2404426468177365, 0.5132787512156656]"
3,hong,"['1.5515962625829913', '1.0514034865372026', '0.8973509062764722']","['1.5633620891218034', '1.064902189318956', '0.8964979225245997']","['1.5454368847253033', '1.0572310285850999', '0.8982016536592614']","['1.513315163387461', '1.0412581154170135', '0.901985699566439']","['1.5320710660145755', '1.032344418147254', '0.8996444205087162']","['1.5443754646661199', '1.0562575769684246', '0.8983773045194943']","['1.5182415408167123', '1.0440686286187109', '0.9013621060125894']","['1.5412305884699342', '1.0286283984483782', '0.8986676285380553']","['1.523231983438893', '1.045283841315519', '0.901178312103255']","['1.49851925579821', '1.0251999783085073', '0.9047020928268841']","['1.5558952649193478', '1.0598950852377553', '0.8965954820142794']","['1.5272121816622117', '1.0249104664513475', '0.9007127589009688']","['1.7188378528355632', '1.1940723775255573', '0.8738625512168386']","['1.5221497964001014', '1.0443972308189635', '0.9011398997639637']","['1.58260832151092', '1.0878938589544014', '0.8933260846646729']","['1.5074385172780063', '1.0379247113932646', '0.9032953543132368']","['1.5757878608708633', '1.083700756680076', '0.8942605471618336']","['1.5334635615388374', '1.0322648382007267', '0.8995825076139179']","['1.5432506168224005', '1.0449716072568023', '0.8986223602824788']","['1.5582583384909596', '1.05844530761659', '0.8966194557555663']"
4,bietti,"['0.8715756542295665', '0.7407656126990608', '0.1714128258392054']","['0.7852303497024782', '0.6559688063547812', '0.3692967907957015']","['0.8311481076722631', '0.6948500416514279', '0.16680108064657387']","['0.8131781588174467', '0.6685600957440405', '0.3110273363506707']","['0.7551351186806924', '0.6440489646066012', '0.44226336975163694']","['0.8741176272501414', '0.7300015030479916', '0.209150213672804']","['0.855264628706165', '0.7292129243632297', '0.28952107347835015']","['0.6988375145342124', '0.5753905856398608', '0.4199581751282806']","['0.8639528284126925', '0.7519451322888191', '0.14008070359388408']","['0.7327857808824658', '0.6187393160797411', '0.36534596460511576']","['0.7431507096985175', '0.6127713458965571', '0.2355534967232516']","['0.8199004836272994', '0.6998692940820842', '0.28011125966118644']","['0.8042882337184896', '0.6831725148689128', '0.33528434883168223']","['0.7839881018251169', '0.6696869554163842', '0.2580533694518933']","['0.7244512372232089', '0.6067401840777151', '0.3515978373950079']","['0.892350893262486', '0.7473958099146913', '0.24650622599599084']","['0.8000309064303824', '0.697346104564164', '0.34077440274978593']","['0.7457367265371', '0.630727078167479', '0.3502483145931643']","['0.791674855799801', '0.6591541576935869', '0.3782194032200528']","['0.8822714421462878', '0.777932873690085', '0.12444609206942125']"
5,rmechdb,"['2.5573637001582137', '2.0702958866553636', '0.6523053854134114']","['2.675521999867162', '2.233140280730719', '0.6150643629646517']","['2.886432255989702', '2.4658480742098825', '0.5235369123653488']","['2.1072593033812415', '1.7292551026144771', '0.7573832125279745']","['3.154478270494377', '2.6347450407123345', '0.5038983603894718']","['2.7989225770904214', '2.37440625405496', '0.5771501093381673']","['2.5350635644035586', '2.0303480485142478', '0.6475657220864814']","['2.5079355079002386', '2.04723990741988', '0.6683350623177511']","['3.0221682008852806', '2.521860140173319', '0.5000204391232324']","['2.2718393117306106', '1.868812555883076', '0.7199814965345167']","['2.4423578012345413', '1.9606783485404258', '0.6877890247873331']","['3.044523141157963', '2.4967300381926525', '0.5205927270346508']","['2.7525723275203218', '2.3079847233559705', '0.5994724915002154']","['2.2073617741416127', '1.7718026860827725', '0.7420438061110457']","['2.561558665928422', '2.12497712016059', '0.6441773430571064']","['2.2182870152534475', '1.770427315927794', '0.7437274345554987']","['2.34631180715106', '1.9024006047122461', '0.7150476719687038']","['1.8596082884127774', '1.4427981163610446', '0.8152368501175568']","['2.0897210551298135', '1.6747814263249505', '0.7623441807684217']","['2.1866202125159235', '1.728497193381036', '0.7456396197246694']"
