,dataset,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
0,in-house,"['3.440042480210935', '2.488885750070293', '0.7595339327386184']","['3.442548903882495', '2.4926879822241306', '0.7590408009412096']","['3.4449502045731735', '2.4932261443899737', '0.7588351192431755']","['3.4399756596831104', '2.491638472205594', '0.7593716064931244']","['3.440873018531822', '2.4879708476423352', '0.7594131163118544']","['3.4388039271408744', '2.4887759533830853', '0.7594598550066347']","['3.438816833263785', '2.485709841211226', '0.7595007911200747']","['3.439130960586483', '2.4902314522368947', '0.7594847482217003']","['3.4368671265711006', '2.48755743318089', '0.7598370565445184']","['3.4356545622268455', '2.486532054424748', '0.7600665419140163']","['3.441999714700225', '2.4900641020817376', '0.7592906999960849']","['3.4427798785282144', '2.4935452436280015', '0.7589246067383233']","['3.4367530518084464', '2.4845770689497853', '0.7597748937115105']","['3.441601429841955', '2.4889457964367283', '0.7593212521271995']","['3.4294033109655673', '2.479008899078042', '0.7608519657981818']","['3.435806376198902', '2.4871483472666833', '0.7599907879514547']","['3.4411671324045665', '2.4882798753434314', '0.7594536597477076']","['3.437665769233297', '2.4855495951300606', '0.7597271878505854']","['3.4463918707791814', '2.4913710746723527', '0.7585788948210088']","['3.434919167323173', '2.48433450107734', '0.760238842418068']"
1,omega,"['1.3090301171537448', '1.0868275216803183', '0.7739394740079998']","['1.4379125822422467', '1.182329371183384', '0.7272809729228831']","['1.4450861681467506', '1.1863527960362918', '0.7245271486601009']","['1.437203575147398', '1.1813586089569965', '0.7275466978015548']","['1.4456731842575752', '1.1852382787745168', '0.7243159194272584']","['1.4361210612828106', '1.1799498369630255', '0.7279579278773184']","['1.437763026894638', '1.1817918157465768', '0.7273405332698684']","['1.4407778043021398', '1.1839076891028804', '0.7261909266577242']","['1.435279176494237', '1.1744313914549054', '0.7282694946918165']","['1.4454391750857611', '1.1875556636472717', '0.724410100498036']","['1.4345386717994022', '1.1743977507335468', '0.72855072417662']","['1.4359935653692752', '1.1786449582645313', '0.7279846566870697']","['1.4427788314110803', '1.1815444405484374', '0.725412894308012']","['1.437640087870499', '1.1814154538067991', '0.7273824259091628']","['1.4402456141581708', '1.1826700663664516', '0.7263725523050564']","['1.436931871658836', '1.1809759083331135', '0.7276519022713303']","['1.4468078402088551', '1.1887973733991095', '0.7238973994610127']","['1.449389816605687', '1.1861210346926183', '0.7228917849605305']","['1.4358018204295786', '1.1756925753114777', '0.7280742275692222']","['1.4373380667941331', '1.1806939283219093', '0.7274939726758847']"
2,selectivity,"[1.4544773349543612, 1.0883405306997522, 0.5153361963815148]","[1.5656338250480226, 1.1590072329391707, 0.4384259109201353]","[1.569337967505841, 1.1594344944420076, 0.4357655044912012]","[1.5600346585898817, 1.1540585454363605, 0.44243543626280035]","[1.5667853023040186, 1.144731999146442, 0.4375995649725971]","[1.5502340852002037, 1.134846939773224, 0.4494189834401755]","[1.5642926997366131, 1.156261359274951, 0.43938759000735694]","[1.5567071075715282, 1.152506740964183, 0.44481146787180703]","[1.583092456151797, 1.154193769910556, 0.4258316766413853]","[1.5674395693181977, 1.143753295645707, 0.4371297662321174]","[1.578281978149594, 1.1536503246013283, 0.429315778474861]","[1.5662987798654897, 1.158244172382112, 0.4379487869725688]","[1.5697487221313189, 1.1487502324783458, 0.43547010316391555]","[1.5604398304219833, 1.148351446624464, 0.4421457775797252]","[1.5634424905246807, 1.155566951754572, 0.4399968216512694]","[1.5566418056233857, 1.1510328264714513, 0.44485804584673116]","[1.564965309256403, 1.1462969480816834, 0.43890538573662896]","[1.5711483892050118, 1.1512044523745477, 0.43446292772482087]","[1.576108817438311, 1.1485893882562257, 0.4308862642671377]","[1.5659890138341714, 1.1584486586605658, 0.4381710780956072]"
3,hong,"['0.8308363237540659', '0.5934103652336511', '0.9696476884897901']","['0.8371981198737416', '0.5971339253382357', '0.9690798599720143']","['0.8278151700638338', '0.5896906271254145', '0.9698731396099995']","['0.8292052973716574', '0.5921579511735595', '0.9697262565456024']","['0.8301435267578166', '0.5912292895534732', '0.9696888432552679']","['0.8308372778888689', '0.592574791379233', '0.9696318335115439']","['0.8271523278494015', '0.5921204761565348', '0.9698959499818398']","['0.8341986899230343', '0.597653721817152', '0.969334010659383']","['0.8392949652243455', '0.5991095931336081', '0.9689455316208953']","['0.8321159071456232', '0.5962037527740552', '0.9695307570919376']","['0.8328836550374875', '0.5956140148168003', '0.9694138375147435']","['0.8321289428818254', '0.5948748797884236', '0.969532521065387']","['0.8351190889493557', '0.5966055430170076', '0.9693069940128396']","['0.8346982622033255', '0.5967599466757816', '0.9693626663465761']","['0.8309751218036767', '0.5941028614459848', '0.9695983491693678']","['0.837708710467556', '0.6009581593469446', '0.9690993560621781']","['0.8314348224160837', '0.5940573649669119', '0.9695899504175213']","['0.8307697344439635', '0.5940293734870699', '0.9696109175161775']","['0.8358364018682085', '0.5964308619711348', '0.9692585596996175']","['0.8332672864321568', '0.5965917429138239', '0.969381357690055']"
4,bietti,"['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']","['0.5784391036248471', '0.47131612850018134', '0.6321163771449618']"
5,tantillo,"['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']","['1.262896334206153', '1.140453742638513', '0.29283560322777136']"
6,rmechdb,"['2.2995557246953924', '1.7884907008247253', '0.7571367199319747']","['2.2693806318140823', '1.7550477484966827', '0.7678141975132485']","['2.2816837012745657', '1.7682042053421914', '0.7650767510604797']","['2.2490954110459356', '1.7865755826583793', '0.7718578774179005']","['2.276711068145601', '1.7652520865434451', '0.7663921499641368']","['2.282708551736607', '1.7749565191780732', '0.764660702435749']","['2.296632638535678', '1.785249147396644', '0.75752862008435']","['2.3273832490028776', '1.816959922413453', '0.7580855837117897']","['2.2516451770199573', '1.7566010825764997', '0.763264684300916']","['2.3184173339680543', '1.8220345570065397', '0.7606928753407836']","['2.2758720532218177', '1.7649759461058891', '0.7661140152225935']","['2.3269267049199245', '1.828461573846171', '0.7607372892933266']","['2.2683190986788677', '1.7574057337304132', '0.7678377495642088']","['2.2799587970390727', '1.7700729939712634', '0.7650669176028899']","['2.279516007055888', '1.7695030843325656', '0.7651561938082232']","['2.2443433720321946', '1.7696240428842671', '0.769466474817691']","['2.310598383758736', '1.8309439514624177', '0.7660497812676239']","['2.328633557264088', '1.8353617219842253', '0.7556627988131492']","['2.2791411451279555', '1.7687117010506594', '0.765392357195852']","['2.3084799658183264', '1.8279288822171584', '0.7672141826761083']"
