,smiles
1126,[CH3:11][c:12]1[cH:13][cH:14][c:15]([OH:16])[c:17]([CH:18]=[O:19])[cH:20]1
1127,[CH3:10][CH:11][O:12][CH2:13][C:14](=[O:15])[NH:16][CH2:17][CH2:18][NH2:19]
1128,[CH3:1][C@@H:2]1[CH2:3][NH:4][C:5]([CH3:6])([CH3:7])[CH:8][C@@H:9]1[OH:10]
1129,[CH3:11][C@@H:12]1[C@H:13]([CH:14]=[O:15])[C@H:16]1[C:17](=[O:18])[O:19][CH3:20]
1130,[CH3:10][CH2:11][CH2:12][C:13](=[O:14])[O:15][CH:16][C:17]#[N:18]
1131,[OH:1][CH2:2][C@@H:3]1[CH:4][CH:5]2[CH2:6][CH2:7][N:8]1[CH2:9][CH2:10]2
1132,[CH:10]=[CH:11][C:12]1([CH2:13][CH3:14])[O:15][CH2:16][CH2:17][O:18]1
1133,[CH3:1][C@H:2]([CH2:3][OH:4])[NH:5][CH:6]1[CH2:7][CH2:8][CH2:9]1
1134,[CH3:11][N:12]1[CH2:13][CH:14][C:15]([NH2:16])=[C:17]([C:18]#[N:19])[CH2:20]1
1135,[CH2:1][c:2]1[cH:3][c:4]([CH2:5][OH:6])[c:7]([CH3:8])[n:9]1[CH3:10]
1136,[C:9]1=[CH:10][C@@H:11]2[CH2:12][CH2:13][CH2:14][CH2:15][C@@H:16]1[O:17]2
1137,[CH3:1][CH2:2][C@@H:3]1[CH2:4][C:5]1[CH2:6][C:7](=[O:8])[OH:9]
1138,[CH3:1][CH2:2][CH2:3][C@@H:4]1[O:5][C:6](=[O:7])[NH:8][C:9]1=[O:10]
1139,[OH:8][CH2:9][N:10][CH:11]([NH:12][CH2:13][OH:14])[NH:15][CH2:16][OH:17]
1140,[CH3:1][c:2]1[n:3][n:4][c:5]2[n:6][cH:7][cH:8][n:9][n:10]12
1141,[NH2:1]/[CH:2]=[C:3]1/[C:4]=[CH:5][N:6]=[CH:7]1
1142,[CH3:1][C@@H:2]1[CH2:3][C:4](=[O:5])[CH2:6][CH2:7][NH:8][C:9]1=[O:10]
1143,[CH2:10][N:11]1[CH2:12][CH2:13][C:14](=[O:15])/[C:16](=[CH:17]/[OH:18])[CH2:19]1
1144,[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[C:6](\[CH3:7])[N:8]([CH3:9])[CH3:10]
1145,[CH2:1]=[C:2]([CH2:3])/[CH:4]=[C:5](\[CH3:6])[CH2:7][C:8](=[CH2:9])[CH3:10]
1146,[CH2:8]=[C:9]([CH2:10][N:11]([CH3:12])[CH3:13])[C:14](=[O:15])[O:16][CH3:17]
1147,[CH2:10]1[CH:11]=[CH:12][C@@H:13]2[CH2:14][CH2:15][CH2:16][N:17]12
1148,[NH2:10][CH2:11]/[CH:12]=[CH:13]/[CH:14]=[CH:15]/[C:16](=[O:17])[OH:18]
1149,[CH3:1][c:2]1[cH:3][nH:4][c:5]([CH2:6][NH2:7])[c:8]1[CH3:9]
1150,[CH2:10]1[CH2:11][CH2:12][C:13]2=[CH:14][CH2:15][CH:16]=[CH:17][C@@H:18]2[CH2:19]1
1151,[CH3:11][CH2:12][CH2:13][C:14](=[O:15])/[CH:16]=[N:17]/[OH:18]
1152,[O:1]=[C:2]1[NH:3][C@H:4]([OH:5])[C@H:6]([OH:7])[N:8]1[CH2:9][OH:10]
1153,[CH3:11][C@:12]1([OH:13])[CH2:14][C@@H:15]([CH3:16])[C:17](=[O:18])[O:19]1
1154,[CH3:1][CH2:2][C@H:3]([OH:4])[CH2:5][NH:6][CH2:7][C@H:8]([CH3:9])[OH:10]
1155,[CH2:1]=[CH:2][CH2:3][C@H:4]([NH2:5])[CH2:6][CH3:7]
1156,[CH3:1]/[CH:2]=[CH:3]/[C@:4]1([CH3:5])[O:6][C@@H:7]1[CH3:8]
1157,[CH2:1]=[CH:2][C:3]1=[C:4]([OH:5])[C:6]2[CH2:7][CH2:8][C@@H:9]1[CH2:10]2
1158,[CH3:1][c:2]1[cH:3][cH:4][c:5](/[C:6]=[N:7]/[NH2:8])[n:9][n:10]1
1159,[CH3:1][C:2]1([CH3:3])[CH2:4][NH:5][CH2:6][C@H:7]([OH:8])[CH2:9]1
1160,[CH3:1][C@@H:2]1[CH2:3][C:4](=[O:5])[NH:6][CH2:7][CH2:8][C:9]1=[O:10]
1161,[CH3:11][CH2:12][O:13][C:14]1=[N:15][O:16][C:17](=[O:18])[O:19][CH2:20]1
1162,[CH2:9][O:10][C:11]1([CH3:12])[O:13][CH2:14][CH2:15][CH2:16][CH2:17][O:18]1
1163,[CH2:10]1[CH2:11][CH2:12][N:13]=[C:14]2[NH:15][CH2:16][CH2:17][CH2:18][N:19]12
1164,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][O:6][N:7]=[C:8]([CH3:9])[CH3:10]
1165,[N:1]#[C:2]/[C:3]=[CH:4]/[N:5]1[CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]1
1166,[CH3:1][O:2][CH2:3][N:4]1[CH2:5][CH2:6][CH:7]=[CH:8][C:9]1=[O:10]
1167,[CH3:8][C@H:9]([NH2:10])[CH2:11][N:12]([CH3:13])[CH2:14][CH2:15][OH:16]
1168,[CH3:1][CH:2]([CH3:3])[N:4][CH2:5][C@H:6]([NH2:7])[C:8](=[O:9])[OH:10]
1169,[CH3:1][O:2][C:3](=[O:4])[C@H:5]1[NH:6][CH2:7][O:8][C:9]1[CH3:10]
1170,[CH3:1][CH2:2][C@@H:3]1[CH2:4][CH2:5][NH:6][CH2:7]1
1171,[CH2:1]=[CH:2][c:3]1[cH:4][cH:5][c:6][cH:7][c:8]1[NH:9][CH3:10]
1172,[CH3:1][CH:2]([CH3:3])[C@@H:4]1[CH2:5][N:6]=[C:7]([NH2:8])[CH2:9]1
1173,[CH3:10][N:11]([CH3:12])[CH2:13][O:14][CH3:15]
1174,[CH2:1]=[C:2]=[C:3]1[CH:4]=[CH:5][C:6]([CH2:7])=[CH:8]1
1175,[CH3:9][C@H:10]([NH2:11])[CH2:12][C:13]1=[CH:14][CH2:15][CH2:16][C:17]=[CH:18]1
1176,[CH3:1][N:2]1[CH:3]=[C:4]([C:5]([NH2:6])=[O:7])[CH:8]=[CH:9][CH2:10]1
1177,[CH3:8][C:9](=[O:10])[C@H:11]1[CH:12][C@H:13]([OH:14])[CH2:15][CH2:16][CH2:17]1
1178,[CH3:8]/[C:9](=[CH:10]\[CH:11][C@H:12]([CH3:13])[CH2:14][OH:15])[CH2:16][OH:17]
1179,[O:1]=[C:2]([OH:3])[N:4][c:5]1[cH:6][cH:7][o:8][cH:9]1
1180,[CH3:11][CH2:12][O:13][CH2:14][c:15]1[cH:16][cH:17][n:18][cH:19][cH:20]1
1181,[CH2:9]1[CH2:10][CH2:11][C@H:12]2[CH2:13][C@H:14]2[O:15]1
1182,[CH3:1][N:2]1[CH2:3][CH2:4][CH2:5][CH2:6][C:7]12[CH2:8][NH:9][CH2:10]2
1183,[CH3:11][CH2:12][n:13]1[c:14]([CH3:15])[cH:16][n:17][c:18]1[CH:19][OH:20]
1184,[CH3:9][C@@H:10]1[CH:11]=[N:12][O:13][C@@H:14]1[NH2:15]
1185,[CH3:8][C@H:9]1[CH2:10][C:11](=[O:12])[CH2:13][C@@H:14]([CH3:15])[NH:16]1
1186,[c:10]1[c:11]2[c:12]([cH:13][c:14]3[cH:15][o:16][cH:17][c:18]13)[O:19]2
1187,[NH:9][CH2:10][C:11](=[O:12])[NH:13][CH2:14][CH2:15][CH2:16][OH:17]
1188,[CH3:9][C@@H:10]([CH2:11][CH3:12])[C@:13]([CH3:14])([OH:15])[CH:16]([CH3:17])[CH3:18]
1189,[CH3:11][c:12]1[cH:13][cH:14][cH:15][c:16]2[c:17]1[N:18]=[N:19][CH2:20]2
1190,[CH:10]1[C@@H:11]2[CH:12]=[CH:13][C@@H:14]3[CH2:15][C@@H:16]3[CH2:17][C@H:18]12
1191,[CH:1]=[C:2]1[CH2:3][C:4]2=[C:5]([CH2:6][CH2:7][CH2:8]2)[CH2:9]1
1192,[CH3:1][C:2](=[O:3])[C:4]1=[C:5]([CH2:6])[O:7][CH2:8][CH2:9]1
1193,[O:10]=[C:11]([OH:12])[C:13]1=[CH:14][CH2:15][NH:16][CH2:17]1
1194,[CH3:9][CH2:10][N:11]([CH2:12][CH3:13])[C:14](=[O:15])[CH2:16][NH:17][NH2:18]
1195,[CH2:1]/[CH:2]=[C:3](\[CH2:4][CH3:5])[N:6]1[CH2:7][CH2:8][CH2:9]1
1196,[CH2:1]1[CH2:2][C@@H:3]2[NH:4][CH2:5][C@@H:6]2[CH2:7][NH:8]1
1197,[CH2:9]/[C:10](=[N:11]\[C:12]([CH3:13])=[O:14])[O:15][CH2:16][CH3:17]
1198,[CH:9]#[C:10][CH:11][n:12]1[cH:13][cH:14][n:15][cH:16]1
1199,[CH:10]=[c:11]1[o:12][c:13](=[O:14])[o:15][c:16]1=[CH2:17]
1200,[CH3:1][O:2][c:3]1[cH:4][c:5]([NH2:6])[cH:7][c:8]([NH2:9])[n:10]1
1201,[CH3:10][C:11](=[O:12])[NH:13][C@H:14]([CH:15]=[O:16])[CH2:17][OH:18]
1202,[CH3:8][C@@H:9]1[C:10]([CH3:11])=[C:12]([CH3:13])[C@@H:14]1[CH3:15]
1203,[CH3:1][CH:2]([CH3:3])[CH2:4][N:5]([CH3:6])[CH:7]=[O:8]
1204,[O:11][c:12]1[cH:13][cH:14][cH:15][n:16]2[cH:17][cH:18][n:19][c:20]12
1205,[CH2:1][C@@H:2]1[CH2:3][N:4]([CH3:5])[CH2:6][CH2:7][O:8]1
1206,[O:1]=[C:2]1[CH:3]=[CH:4][CH2:5][C@@H:6]2[CH2:7][C@H:8]12
1207,[CH2:9]/[C:10]([NH2:11])=[N:12]\[c:13]1[cH:14][n:15][cH:16][cH:17][n:18]1
1208,[NH2:1][C@@H:2]([CH2:3][OH:4])[c:5]1[n:6][cH:7][cH:8][nH:9]1
1209,[CH3:9][n:10]1[cH:11][cH:12][n:13]([C:14]([NH2:15])=[O:16])[c:17]1=[O:18]
1210,[CH3:1][CH2:2][CH:3][c:4]1[cH:5][c:6]([CH3:7])[o:8][n:9]1
1211,[CH:1]1=[CH:2][C@@H:3]2[CH:4]=[CH:5][C@H:6]([CH2:7]1)[O:8][O:9]2
1212,[CH:1]#[C:2][CH2:3][n:4]1[cH:5][cH:6][cH:7][cH:8]1
1213,[CH2:9][CH2:10][C@H:11]([CH2:12][OH:13])[n:14]1[cH:15][cH:16][cH:17][cH:18]1
1214,[CH3:11][c:12]1[cH:13][cH:14][n:15][c:16](=[O:17])[nH:18]1
1215,[CH3:1][C:2]([CH3:3])[CH2:4][N:5]([CH3:6])[CH:7]=[O:8]
1216,[CH:10]1[CH2:11][CH2:12][N:13]=[C:14]2[NH:15][CH2:16][CH2:17][CH2:18][N:19]12
1217,[CH3:1][CH2:2][C@@H:3]1[CH2:4][C@@:5]1([OH:6])[C:7](=[O:8])[NH:9][CH3:10]
1218,[N:10]#[C:11][c:12]1[c:13]([O:14])[cH:15][cH:16][cH:17][c:18]1[OH:19]
1219,[CH2:10][O:11][CH2:12][c:13]1[n:14][c:15]([CH2:16][NH2:17])[n:18][o:19]1
1220,[CH3:1][C@@H:2]1[CH2:3][NH:4][C:5](=[O:6])[O:7]1
1221,[CH3:1][O:2][C:3](=[O:4])[N:5]([NH2:6])[CH2:7][CH:8][OH:9]
1222,[CH3:1][CH2:2][CH2:3][O:4][C:5](=[O:6])[O:7]
1223,[CH2:11][C@H:12]1[CH2:13][N:14]([CH3:15])[N:16]=[C:17]1[CH3:18]
1224,[CH3:1][C:2](=[O:3])[C:4]1=[CH:5][CH:6]=[CH:7][NH:8][C@@H:9]1[CH2:10]
1225,[CH2:1]1[CH2:2][C:3]2([CH2:4][CH2:5][NH:6]1)[CH2:7][CH2:8]2
1226,[CH3:1][CH2:2][C:3]1([NH2:4])[CH2:5][CH2:6]1
1227,[NH2:9][C@@H:10]([CH2:11][OH:12])[C:13]1=[N:14][CH:15]=[CH:16][CH2:17]1
1228,[CH3:1][O:2][C:3]1=[C:4]([CH3:5])[CH2:6][CH2:7][CH2:8][CH2:9]1
1229,[CH3:11][O:12][CH2:13][CH2:14][C:15](=[N:16])[NH2:17]
1230,[CH3:7][O:8][CH2:9][CH2:10][C:11]1([CH2:12][NH:13])[CH2:14][CH2:15]1
1231,[CH3:11][CH2:12][C@H:13]([CH3:14])[CH:15]=[C:16]([CH3:17])[CH3:18]
1232,[CH2:8]=[C:9]/[CH:10]=[C:11](/[CH:12]=[CH2:13])[CH2:14][CH3:15]
1233,[CH3:1][CH:2][CH2:3][C@H:4]([CH2:5][CH3:6])[O:7][OH:8]
1234,[CH3:1][c:2]1[c:3][n:4][c:5]([CH2:6][CH2:7][OH:8])[o:9]1
1235,[CH3:1][C@:2]([NH2:3])([O:4])[c:5]1[cH:6][cH:7][cH:8][nH:9]1
1236,[CH2:10]=[C:11]1[NH:12][C:13](=[O:14])[CH:15]=[C:16]1[CH3:17]
1237,[CH3:1][C:2]1([CH3:3])[CH2:4][C@H:5]([OH:6])[C@@H:7]2[CH2:8][CH2:9][C@H:10]12
1238,[CH2:1]=[CH:2][CH2:3][C@:4]1([CH3:5])[CH2:6][CH2:7][CH2:8][NH:9]1
1239,[CH2:1]=[C:2]1[CH2:3][CH2:4][C@:5]2([C:6]([CH3:7])[CH3:8])[CH2:9][C@H:10]12
1240,[CH2:1]1[CH2:2][NH:3][CH:4]2[NH:5][CH2:6][CH2:7][NH:8][C:9]2[NH:10]1
1241,[CH2:9][C:10]([CH3:11])([CH3:12])/[CH:13]=[CH:14]/[CH:15]=[CH2:16]
1242,[CH3:1][C@H:2]([C:3](=[O:4])[OH:5])[N:6]([CH3:7])[N:8]=[O:9]
1243,[CH3:11][CH:12]([CH3:13])[CH2:14][C@@H:15]([C:16]=[O:17])[C:18]#[N:19]
1244,[CH3:11][c:12]1[cH:13][n:14]([CH2:15][CH2:16][NH2:17])[n:18][n:19]1
1245,[CH3:1][C@@H:2]1[O:3][CH2:4][C:5](=[O:6])[C@@H:7]1[CH3:8]
1246,[C:10]1=[CH:11][C@@H:12]2[CH2:13][CH:14]=[CH:15][C@H:16]12
1247,[CH3:11][O:12][C:13](=[O:14])[C@@H:15]1[CH2:16][CH:17]=[CH:18][C@@H:19]1[CH3:20]
1248,[CH:1]#[C:2][C@H:3]([C:4]=[CH2:5])[O:6][C:7]([CH3:8])=[O:9]
1249,[CH:1]=[N:2][c:3]1[cH:4][cH:5][cH:6][nH:7]1
1250,[CH3:1][c:2]1[cH:3][cH:4][n:5][c:6]2[c:7]1[CH2:8][CH:9][O:10]2
1251,[CH3:11][NH:12][n:13]1[c:14](=[O:15])[nH:16][n:17]([CH3:18])[c:19]1=[O:20]
1252,[CH2:9]1[CH:10]2[CH2:11][CH:12]3[CH2:13][CH:14]([CH2:15][CH:16]1[O:17]3)[N:18]2
1253,[C:10]1=[C:11]2[CH:12]=[CH:13][N:14]=[C:15]2[CH:16]=[CH:17]1
1254,[CH:1]#[C:2][C@:3]([CH3:4])([NH2:5])[CH:6]([CH3:7])[CH3:8]
1255,[CH3:1][CH:2][CH2:3]/[CH:4]=[CH:5]/[N:6]1[CH2:7][CH2:8][CH2:9][CH2:10]1
1256,[CH2:10][c:11]1[o:12][c:13]([CH3:14])[cH:15][c:16]1[CH:17]=[O:18]
1257,[CH2:11]=[C:12]1[CH2:13][CH2:14][C@@H:15]2[CH2:16][CH2:17][CH2:18][CH2:19][C@H:20]12
1258,[OH:1][CH:2][C@H:3]1[CH2:4][CH2:5][C@@H:6]([CH2:7][OH:8])[CH2:9]1
1259,[CH3:9][O:10][C:11](=[O:12])[C@H:13]([OH:14])[CH2:15][C:16]1[CH2:17][CH2:18]1
1260,[CH3:11][C:12]([CH3:13])[CH2:14][c:15]1[cH:16][c:17]([CH3:18])[n:19][o:20]1
1261,[CH3:1][CH2:2][C@@H:3]1[CH2:4][N:5]=[C:6]([NH2:7])[C@@H:8]1[CH3:9]
1262,[NH2:11][C@H:12]([CH2:13][CH:14]1[CH2:15][CH2:16][CH2:17]1)[C:18](=[O:19])[OH:20]
1263,[CH3:1][C:2]([CH3:3])=[N:4][O:5][CH2:6][C:7]([OH:8])[CH2:9][NH2:10]
1264,[CH3:11][O:12][CH:13][C@@H:14]1[CH2:15][NH:16][C:17](=[O:18])[O:19]1
1265,[NH2:1][CH2:2][CH2:3][CH2:4][C@@H:5]1[CH:6][CH2:7][C@@H:8]1[OH:9]
1266,[CH2:1][O:2][CH2:3][CH2:4][c:5]1[o:6][cH:7][cH:8][c:9]1[CH3:10]
1267,[CH3:1][C:2]#[C:3][CH2:4][NH:5][CH2:6][C:7]#[C:8][CH3:9]
1268,[CH:1]#[C:2][CH2:3][O:4][CH2:5][O:6][CH2:7][CH:8]=[CH2:9]
1269,[CH3:9][C:10](=[C:11]=[C:12]([CH3:13])[CH3:14])[O:15][CH3:16]
1270,[C:10]1=[CH:11][CH2:12][CH2:13][C:14]2([CH2:15][CH2:16]2)[C:17]12[CH2:18][CH2:19]2
1271,[OH:1][N:2]1[CH2:3][CH2:4][NH:5][NH:6][CH2:7][CH2:8]1
1272,[CH3:11][N:12]1[N:13]=[C:14]([CH2:15][OH:16])[CH:17][CH2:18][C:19]1=[O:20]
1273,[CH2:1]1[CH2:2][C@H:3]2[CH2:4][CH2:5][C@H:6]2[C:7]2[CH2:8][CH2:9][C@@H:10]12
1274,[CH3:11][C@:12]12[CH2:13][CH2:14][C@@H:15]1[CH:16][CH2:17][C:18]2=[O:19]
1275,[CH2:9]=[CH:10][CH2:11][CH2:12][O:13][N:14]=[O:15]
1276,[O:11]=[CH:12][N:13]1[CH:14]=[CH:15][CH2:16][CH2:17][CH2:18]1
1277,[CH2:10]1[CH2:11][C:12]2([CH2:13][CH2:14][O:15][CH2:16][CH2:17]2)[CH2:18][NH:19]1
1278,[N:1]#[C:2][C@@H:3]1[C:4]=[N:5][C:6]([NH2:7])=[N:8][C:9]1=[O:10]
1279,[CH3:9][CH2:10][CH2:11][c:12]1[n:13][o:14][c:15]([CH2:16][CH3:17])[n:18]1
1280,[CH3:11][C:12]1=[CH:13][CH2:14][C@H:15]([OH:16])[C:17]1([CH3:18])[CH3:19]
1281,[CH3:1][O:2][C@@H:3]1[CH:4][C:5]2=[C:6]1[CH2:7][CH2:8]2
1282,[CH2:1]=[CH:2][C@H:3]([CH2:4][CH3:5])[O:6][CH2:7][O:8][CH3:9]
1283,[CH3:1][n:2]1[nH:3][c:4](=[O:5])[cH:6][c:7]1[NH2:8]
1284,[CH2:1][C@@H:2]1[CH2:3][O:4][CH2:5][O:6][C:7]1([CH3:8])[CH3:9]
1285,[CH:10]1[CH:11]=[N:12][CH:13]=[N:14]1
1286,[NH2:1][CH2:2][CH2:3][C@H:4]([OH:5])[CH:6]=[O:7]
1287,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][NH:7])[n:8][cH:9]1
1288,[CH2:1][CH2:2][CH2:3][C:4]1=[CH:5][CH2:6][CH2:7][C:8]1=[O:9]
1289,[CH3:1][N:2]1[C:3](=[O:4])[CH2:5][CH2:6][C@:7]1([CH3:8])[OH:9]
1290,[CH3:11][CH:12][C@H:13]([CH3:14])[CH:15]=[C:16]([CH3:17])[CH3:18]
1291,[CH2:1]1[C:2]2[CH2:3][C@@H:4]2[C@@H:5]2[CH2:6][C@H:7]12
1292,[CH2:1]=[CH:2][C:3]1=[CH:4][CH2:5][N:6]([CH3:7])[CH2:8][CH:9]1
1293,[CH3:10][C@@H:11]1[N:12][CH2:13][C@@H:14]1[NH2:15]
1294,[CH3:1][CH2:2][C@:3]([CH3:4])([O:5])[c:6]1[cH:7][cH:8][cH:9][o:10]1
1295,[CH3:11][CH2:12][O:13][C@H:14]([CH3:15])[NH:16]
1296,[CH3:9][c:10]1[cH:11][c:12](=[NH:13])[n:14][cH:15][n:16]1[OH:17]
1297,[CH3:10][N:11]1[CH2:12][CH2:13][n:14]2[n:15][c:16][c:17]([NH2:18])[c:19]21
1298,[CH3:11]/[C:12]([CH:13][CH2:14]/[CH:15]=[N:16]/[OH:17])=[N:18]\[OH:19]
1299,[OH:11][CH2:12][C@:13]12[CH2:14][CH2:15][CH2:16][C@H:17]([O:18][CH2:19]1)[O:20]2
1300,[O:10][N:11]([OH:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][n:18]1
1301,[CH3:10]/[CH:11]=[CH:12]/[C:13]1([OH:14])[CH2:15][CH2:16]1
1302,[CH3:9][CH2:10][CH2:11][CH2:12][N:13]1[CH:14]=[CH:15][CH:16]=[CH:17][CH2:18]1
1303,[CH3:11][c:12]1[cH:13][c:14]([N:15]([CH3:16])[NH:17])[n:18][cH:19][n:20]1
1304,[CH2:1][NH:2][n:3]1[cH:4][cH:5][n:6]2[cH:7][n:8][n:9][c:10]12
1305,[NH:1][CH2:2][CH2:3][N:4]1[CH2:5][CH2:6][NH:7][C:8]1=[O:9]
1306,[CH2:11]=[C:12]1[CH2:13][C:14]([CH3:15])([CH3:16])[C:17]([CH3:18])=[N:19]1
1307,[NH:9][C:10](=[NH:11])[N:12]1[CH2:13][CH2:14][CH2:15][CH2:16]1
1308,[O:11]=[C:12]1[CH2:13][CH2:14][C@@H:15]2[CH:16][CH2:17][CH2:18][N:19]12
1309,[CH3:11][CH2:12][O:13][C@@H:14]1[CH2:15][CH2:16][CH2:17][C:18](=[O:19])[NH:20]1
1310,[NH2:11][c:12]1[cH:13][cH:14][c:15]([CH2:16][OH:17])[cH:18][c:19]1[NH2:20]
1311,[NH2:1][CH2:2][CH2:3][C@H:4]([OH:5])[C:6]=[O:7]
1312,[O:1]=[C:2]([OH:3])[C:4]1=[CH:5][C@@H:6]2[O:7][C@@H:8]2[CH:9]=[CH:10]1
1313,[O:10]=[C:11]1[CH2:12][CH2:13][C@:14]23[CH2:15][CH2:16][CH2:17][C@:18]12[CH2:19]3
1314,[CH2:10]1[CH:11]=[CH:12][CH2:13][C:14]2=[C:15]1[CH2:16][CH:17]=[CH:18][CH2:19]2
1315,[CH3:10][N:11]1[CH2:12][CH2:13][N:14]([NH2:15])[C:16]1=[O:17]
1316,[CH2:8][C@H:9]([OH:10])[CH2:11]/[CH:12]=[CH:13]/[CH2:14][CH3:15]
1317,[CH3:1][CH2:2][C@:3]([CH3:4])([CH2:5][NH2:6])[C@H:7]([CH3:8])[OH:9]
1318,[CH3:8][N:9]1[CH:10][CH2:11][C@:12]([OH:13])([CH2:14][NH2:15])[CH2:16]1
1319,[CH3:1][C:2]1=[CH:3][CH2:4][C@H:5]([CH2:6][OH:7])[CH2:8][CH2:9]1
1320,[CH2:10][N:11]([CH3:12])[CH2:13][O:14][CH3:15]
1321,[CH3:10][C:11](=[O:12])[CH2:13][C@H:14]([CH3:15])[CH2:16][CH:17]([CH3:18])[CH3:19]
1322,[CH2:10][O:11][C:12](=[O:13])[C@@:14]1([CH3:15])[CH2:16][O:17][CH2:18][O:19]1
1323,[CH3:1][O:2][C:3](=[O:4])[C@@H:5]1[CH2:6][CH:7][C:8]1=[O:9]
1324,[CH3:1][CH:2][C:3](=[O:4])[C@H:5]([NH2:6])[CH2:7][CH:8]([CH3:9])[CH3:10]
1325,[CH3:11][C:12]1([CH3:13])[CH2:14][C:15](=[O:16])[NH:17][C@:18]1([CH3:19])[OH:20]
1326,[C:10]1#[C:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1
1327,[CH3:1][CH2:2][C@H:3]([CH2:4][OH:5])[N:6]([CH3:7])[NH2:8]
1328,[CH3:1][CH2:2][O:3][CH2:4]/[C:5]([NH2:6])=[C:7]\[C:8]#[N:9]
1329,[CH2:1]=[CH:2][CH2:3][N:4]/[N:5]=[CH:6]/[CH2:7][CH3:8]
1330,[CH3:1]/[CH:2]=[C:3](\[CH2:4][CH3:5])[N:6]1[CH2:7][CH2:8][CH2:9]1
1331,[CH3:11][C:12]1=[N:13][CH2:14][N:15]=[CH:16]1
1332,[CH3:11][c:12]1[cH:13][n:14][n:15][c:16]([CH2:17][OH:18])[cH:19]1
1333,[CH2:10]/[C:11](=[CH:12]/[C:13]([CH3:14])=[O:15])[NH:16][O:17][CH3:18]
1334,[CH:1]=[C:2]1[CH:3]2[CH2:4][CH2:5][CH:6]1[CH2:7][CH2:8]2
1335,[CH3:11][C@H:12]([OH:13])[C:14]#[C:15][C@H:16]([CH3:17])[OH:18]
1336,[CH3:1][O:2][N:3]1[CH2:4][CH2:5][CH2:6][CH2:7]1
1337,[NH2:10][C@@H:11]1[C:12](=[O:13])[NH:14][O:15][C@@H:16]1[C:17](=[O:18])[OH:19]
1338,[CH3:1][C@@:2]1([NH:3])[CH2:4][CH2:5][CH2:6][CH2:7][C@@:8]1([CH3:9])[NH2:10]
1339,[NH2:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7]1)[CH2:8][CH2:9][O:10]2
1340,[CH3:8]/[C:9](=[CH:10]\[CH2:11][C@H:12]([CH3:13])[CH2:14][OH:15])[CH2:16][OH:17]
1341,[N:10]#[C:11][C@@H:12]1[CH:13][CH:14]=[C:15]([CH:16]=[O:17])[CH2:18][CH2:19]1
1342,[CH3:10][C:11]([CH3:12])([CH3:13])[C@:14]([CH3:15])([OH:16])[NH:17][OH:18]
1343,[CH3:1][N:2]1[O:3][CH2:4][C@@H:5]2[CH2:6][CH2:7][CH2:8][C@H:9]12
1344,[CH2:9]1[CH:10]2[CH2:11][CH:12]3[CH2:13][CH:14]([CH2:15][CH:16]1[O:17]3)[NH:18]2
1345,[CH3:1][CH2:2][c:3]1[n:4][cH:5][c:6]([CH3:7])[o:8]1
1346,[O:11]=[C:12]([CH2:13][OH:14])[CH2:15][C@H:16]([OH:17])[CH2:18][OH:19]
1347,[CH2:10][C:11]1=[N:12][CH2:13][C@H:14]([CH3:15])[NH:16]1
1348,[CH:9]#[C:10]/[C:11]([CH3:12])=[CH:13]/[CH:14]=[O:15]
1349,[OH:11][CH2:12][C@@H:13]1[CH2:14][C@H:15]([OH:16])[CH2:17][NH:18][NH:19]1
1350,[CH2:11][c:12]1[c:13]([NH2:14])[cH:15][n:16][cH:17][c:18]1[CH:19]=[O:20]
1351,[CH2:8][C:9](=[O:10])[O:11][C@@H:12]([CH3:13])/[CH:14]=[CH:15]/[CH3:16]
1352,[CH:9]#[C:10]/[C:11]([CH3:12])=[C:13](\[CH3:14])[CH2:15][CH2:16][CH3:17]
1353,[CH3:1][N:2]1[CH:3]=[C:4]([C:5](=[O:6])[OH:7])[N:8]([CH3:9])[CH2:10]1
1354,[CH3:11][CH2:12][O:13]/[CH:14]=[C:15](/[CH:16]=[O:17])[CH2:18][CH2:19][CH3:20]
1355,[CH3:1][C:2]1=[CH:3][CH:4]=[N:5][C:6](=[O:7])[C:8]1[C:9]#[N:10]
1356,[CH3:1][CH:2][NH:3][n:4]1[cH:5][cH:6][c:7]([NH2:8])[cH:9]1
1357,[CH3:1][CH2:2][C:3]1=[C:4]([CH3:5])[C:6](=[O:7])[NH:8][C@@H:9]1[CH3:10]
1358,[CH:1]1=[CH:2][c:3]2[n:4][cH:5][c:6]3[c:7]([c:8]2-3)[CH2:9]1
1359,[CH3:11][CH:12]([CH3:13])[C@@H:14]1[CH:15]=[C:16]([O:17])[C:18](=[O:19])[CH2:20]1
1360,[CH3:11][CH2:12][CH2:13][NH:14][CH2:15][CH:16]([O:17][CH3:18])[O:19][CH3:20]
1361,[CH3:1][c:2]1[cH:3][n:4][c:5]([NH2:6])[cH:7][c:8]1[NH2:9]
1362,[CH3:1]/[CH:2]=[C:3](\[CH3:4])[C:5](=[O:6])[CH2:7][CH2:8]
