,smiles
55,[OH:1][CH:2]/[CH:3]=[N:4]/[CH2:5][CH2:6][OH:7]
56,[N:1]#[C:2][CH:3]1[CH2:4][CH2:5][CH:6]([O:7])[CH2:8][CH2:9]1
57,[CH3:1][C:2]1=[C:3][CH2:4][C@:5]([CH3:6])([OH:7])[CH2:8][CH2:9]1
58,[CH2:1]/[CH:2]=[CH:3]/[C@H:4]([CH3:5])[CH2:6][CH2:7][OH:8]
59,[CH3:1][c:2]1[cH:3][nH:4][c:5]([CH:6][NH2:7])[c:8]1[CH3:9]
60,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C@H:6]([CH3:7])[OH:8]
61,[CH3:1][CH2:2][n:3]1[c:4]([CH3:5])[cH:6][c:7][c:8]1[CH:9]=[O:10]
62,[CH3:1][C:2](=[O:3])[C:4]1=[CH:5][N:6]([CH3:7])[CH2:8][CH:9]=[CH:10]1
63,[CH:10]1[CH:11]=[CH:12][C@@H:13]2[CH2:14][CH2:15][CH2:16][N:17]12
64,[CH3:7][CH:8]([CH3:9])[CH2:10][NH:11][CH2:12][OH:13]
65,[O:9]=[CH:10][CH2:11][CH2:12][O:13][CH:14]=[O:15]
66,[CH3:8][C@@:9]1([NH2:10])[CH2:11][CH:12][CH2:13][CH2:14][C@@:15]1([CH3:16])[NH2:17]
67,[CH3:9][C:10]1=[N:11][NH:12][C@H:13]([CH3:14])[CH2:15][CH2:16]1
68,[O:11]=[C:12]1[O:13][CH2:14][C@@H:15]2[CH:16][N:17]=[N:18][C@H:19]12
69,[CH3:1][CH2:2][CH2:3][n:4]1[cH:5][c:6]([CH3:7])[c:8]([NH2:9])[n:10]1
70,[OH:9][CH:10][C@H:11]([OH:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][n:18]1
71,[CH3:1][NH:2][C:3]1([C@@H:4]2[CH2:5][CH2:6][NH:7][CH2:8]2)[CH2:9][CH2:10]1
72,[CH3:1][CH2:2][C:3]1=[C:4]([CH3:5])[C:6](=[O:7])[CH2:8][CH2:9][CH2:10]1
73,[CH3:1][O:2][C@@H:3]1[CH:4][C@H:5]([OH:6])[CH2:7][CH2:8][O:9]1
74,[CH3:10][CH2:11][CH2:12][C:13](=[O:14])[O:15][CH2:16][C:17]#[N:18]
