,rxn_id,G_r,DG_TS,DG_TS_tunn,dG_rxn,dG_forward,dG_reverse,fr_dG_rxn,fr_dG_forward,fr_dG_reverse,s_prod0,q_reac1,s_reac1,qH_reac0,qH_prod1,q_reac0,q_prod1,q_prod0,BV_reac1,BV_prod0
0,409,-32.06466200602096,4.777851736941129,4.52564924418184,-29.524943418037893,77.36935658196211,106.8943,-34.015240541200924,121.99435945879908,156.0096,0.6305622458457947,-0.326,1.025,0.14915616810321808,0.329,-0.033499956130981445,-0.657,0.11695297807455063,0.0,0.6090577447208874
1,779,-16.53885817924387,6.839966033057703,6.724405010313896,-14.942797567949555,91.95150243205045,106.8943,-18.089573074393968,137.92002692560604,156.0096,1.0223746299743652,-0.326,1.025,0.1425144076347351,0.329,-0.4197980761528015,-0.657,-0.42059797048568726,0.0,0.346663148634679
2,834,-20.286953073873725,4.665596616956418,4.331822740478676,-18.213210765780346,88.68108923421966,106.8943,-22.777421844637132,133.23217815536287,156.0096,0.9997175335884094,-0.326,1.025,0.14243364334106445,0.329,-0.25583675503730774,-0.657,-0.17730633914470673,0.0,0.4069615859482584
3,842,-20.536097370502464,4.012373609339424,3.610197046997488,-18.384105619650313,88.51019438034969,106.8943,-22.734178343147732,133.27542165685227,156.0096,1.0076252222061157,-0.326,1.025,0.14881007373332977,0.329,-0.2963618338108063,-0.657,-0.20461814105510712,0.0,0.4649614022731182
4,866,-17.77963682598222,8.039974141334007,7.679876394595753,-15.598813874063339,91.29548612593666,106.8943,-18.764476508212226,137.24512349178778,156.0096,1.010408639907837,-0.326,1.025,0.13224706053733826,0.329,-0.42112335562705994,-0.657,-0.3879331052303314,0.0,0.2306681332008984
5,926,-18.781184316220468,8.97527294903515,8.599384106901818,-16.98584784394255,89.90845215605745,106.8943,-19.92805490967322,136.08154509032678,156.0096,1.083287000656128,-0.326,1.025,0.14395111799240112,0.329,-0.4482152760028839,-0.657,-0.3939721882343292,0.0,0.30726424397426866
6,927,-17.637049531654856,7.946555699898986,7.646132743778624,-15.814899480617669,91.07940051938233,106.8943,-18.867962101411564,137.14163789858844,156.0096,1.0389412641525269,-0.326,1.025,0.1461838334798813,0.329,-0.4437520205974579,-0.657,-0.4011843204498291,0.0,0.3892076464906194
7,1094,-17.343590086005257,8.060306878831177,7.680583181667719,-15.99674995530063,90.89755004469937,106.8943,-19.869822887756385,136.13977711224362,156.0096,1.056979775428772,-0.326,1.025,0.1402890980243683,0.329,-0.39349794387817383,-0.657,-0.387128621339798,0.0,0.27782070610911036
8,1267,-18.933660646624205,6.7967730103235615,6.699845926604513,-16.670706261397896,90.2235937386021,106.8943,-23.798474297349912,132.2111257026501,156.0096,0.9087955355644226,-0.326,1.025,0.15269805490970612,0.329,-0.24338603019714355,-0.657,-0.21273742616176605,0.0,0.2338981347444219
9,1268,-18.860048316107253,6.961420247166479,6.654423677557031,-16.281240619829205,90.6130593801708,106.8943,-34.67964061032413,121.32995938967588,156.0096,0.6404299139976501,-0.326,1.025,0.11744024604558945,0.329,0.24175475537776947,-0.657,0.22486229240894318,0.0,0.3170021297065675
10,1271,-19.058423132239334,6.2652009955213215,5.710311793832288,-16.446387900718193,90.44791209928181,106.8943,-22.320106965871048,133.68949303412896,156.0096,0.949442446231842,-0.326,1.025,0.1486062854528427,0.329,-0.25190800428390503,-0.657,-0.23263132572174072,0.0,0.2373184208739474
11,1272,-19.46503049277051,8.858757796222982,7.973588792037876,-17.46881435070823,89.42548564929177,106.8943,-18.575316940263804,137.4342830597362,156.0096,0.8912714719772339,-0.326,1.025,0.16072416305541992,0.329,-0.4437832832336426,-0.657,-0.35170626640319824,0.0,0.2629956592568967
12,1299,-16.211641667436837,6.89564412061889,6.793604008122864,-14.789050779487624,92.10524922051238,106.8943,-18.53081639512766,137.47878360487235,156.0096,1.041115641593933,-0.326,1.025,0.1374479979276657,0.329,-0.4111286401748657,-0.657,-0.3850158452987671,0.0,0.22635171345227578
13,1305,-17.13385163755608,6.934249037115845,6.907070945630674,-15.114513804161362,91.77978619583864,106.8943,-18.33305552852724,137.67654447147277,156.0096,1.0404565334320068,-0.326,1.025,0.14809487760066986,0.329,-0.43055593967437744,-0.657,-0.40920326113700867,0.0,0.3780141691225223
14,1356,-16.382561095632454,6.268793147891436,5.72882375406757,-15.075392446476698,91.8189075535233,106.8943,-18.726498189539086,137.28310181046092,156.0096,1.0270984172821045,-0.326,1.025,0.14354239404201508,0.329,-0.4092320501804352,-0.657,-0.3949612081050873,0.0,0.25936971922989127
15,1362,-20.53615182170619,4.311238747510691,3.892809200888583,-18.529934114063963,88.36436588593604,106.8943,-23.29982098324163,132.70977901675838,156.0096,1.0048967599868774,-0.326,1.025,0.14138248562812805,0.329,-0.22896528244018555,-0.657,-0.16318345069885254,0.0,0.4133949496400474
16,1381,-28.671730156400105,5.262040447535366,4.890621065009694,-25.50029825115179,81.39400174884821,106.8943,-27.726210675171927,128.28338932482808,156.0096,0.8386618494987488,-0.326,1.025,0.16149485111236572,0.329,-0.34693577885627747,-0.657,-0.1825999766588211,0.0,0.482429272602183
17,1388,-22.863672327902204,3.2151710343851128,2.954073267820786,-21.360273580326975,85.53402641967303,106.8943,-26.57126657350878,129.43833342649123,156.0096,0.9363207817077637,-0.326,1.025,0.1420908421278,0.329,-0.07812192291021347,-0.657,-0.0019388246582821012,0.0,0.5510467700078252
18,1442,-18.91131461279005,6.278721595767598,6.278053999462618,-16.614681885790006,90.27961811421,106.8943,-23.256931494044153,132.75266850595585,156.0096,0.9612838625907898,-0.326,1.025,0.1506507396697998,0.329,-0.24194756150245667,-0.657,-0.22463388741016388,0.0,0.23840707299059855
19,1810,-4.002869070628083,15.61458746828344,13.212875429272872,-2.1430838423917464,76.6,78.74308384239174,1.9952804219925895,133.0364,131.0411195780074,0.755,-0.18775317072868347,0.7314440608024597,0.334,0.34003591537475586,-0.334,-0.3320598304271698,-0.164,0.2614766440797468,0.13
